accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pitch,roll,leg_angle,knee_angle,foot_contact,touchdown_event,impact,vibration,terrain_height,terrain_slope,terrain
-0.0168,0.0088,9.8282,-0.2126,-0.7338,-0.569,0.256,-0.533,89.462,176.207,1,False,0.068,0.912,-0.104,-0.499,Flat
-0.016,0.065,9.8475,0.8358,2.5159,-1.9476,0.213,-0.606,89.655,175.774,1,False,0.167,3.21,-0.175,0.069,Flat
0.0553,-0.0589,9.8599,-0.1268,3.37,-0.3976,0.226,-0.629,89.933,175.619,1,False,0.216,2.275,-0.139,0.585,Flat
0.0863,0.0319,9.7751,-0.5383,3.3846,-0.1808,0.08,-0.629,90.27,175.705,1,False,0.0,2.162,-0.084,1.073,Flat
0.0112,0.0207,9.8995,-1.0581,0.9489,1.5532,-0.229,-0.529,90.394,175.956,1,False,0.173,1.996,-0.057,0.764,Flat
0.0556,0.0116,9.8292,0.1162,-1.136,2.2356,-0.268,-0.379,90.324,176.418,1,False,0.151,2.754,0.022,0.213,Flat
-0.0357,-0.0411,9.8318,0.414,-0.493,1.6314,-0.238,-0.163,90.274,176.611,1,False,0.233,1.312,0.041,0.146,Flat
0.0841,-0.0229,9.826,0.6354,-0.3851,-1.3313,-0.209,-0.387,90.316,176.47,1,False,0.211,1.071,0.085,0.389,Flat
-0.1168,0.0027,9.7955,0.2038,-1.1192,1.3084,-0.144,-0.518,90.169,176.718,1,False,0.182,2.142,0.04,-0.131,Flat
0.0421,-0.0197,9.845,-0.155,-0.0983,0.7781,-0.143,-0.442,90.165,176.791,1,False,0.18,0.449,0.051,0.11,Flat
-0.0192,0.0099,9.8645,0.6484,-2.1532,1.4708,-0.253,-0.308,89.953,176.95,1,False,0.0,2.011,-0.022,-0.498,Flat
0.036,0.086,9.7409,0.1804,-1.5051,-0.4872,-0.374,-0.32,89.854,176.805,1,False,0.0,1.357,-0.067,-0.421,Flat
-0.0369,0.0214,9.8075,0.1435,-0.5932,-2.3387,-0.423,-0.417,89.777,176.205,1,False,0.139,3.43,-0.159,-0.418,Flat
-0.0113,0.0174,9.9194,1.022,-0.7081,-3.826,-0.221,-0.329,89.703,175.424,1,False,0.237,4.405,-0.23,-0.479,Flat
-0.0806,-0.1036,9.7631,-0.2491,0.5317,-2.1589,-0.147,-0.396,89.771,174.798,1,False,0.18,3.592,-0.262,-0.108,Flat
0.0333,-0.017,9.8708,-0.5877,1.4188,-1.9676,-0.154,-0.334,89.912,174.145,1,False,0.151,4.11,-0.294,0.234,Flat
-0.0362,0.0215,9.7723,0.3167,1.5707,0.5019,-0.123,-0.321,90.015,174.209,1,False,0.097,1.001,-0.205,0.278,Flat
-0.0979,-0.0748,9.8785,0.4311,0.0145,0.2124,-0.369,-0.329,90.052,174.401,1,False,0.007,1.228,-0.171,0.164,Flat
-0.0855,-0.0149,9.8333,-0.0551,-2.1832,-0.542,-0.442,-0.241,89.795,174.258,1,False,0.367,2.149,-0.197,-0.742,Flat
0.0621,-0.0096,9.897,-0.2374,0.1483,-0.8311,-0.549,-0.323,89.737,174.079,1,False,0.336,1.365,-0.226,-0.467,Flat
-0.0817,0.0319,9.7896,0.5621,-1.3936,1.6141,-0.555,-0.237,89.717,174.481,1,False,0.131,2.163,-0.14,-0.343,Flat
0.002,-0.0504,9.8508,0.3197,-1.4886,-0.323,-0.558,-0.232,89.549,174.36,1,False,0.109,1.569,-0.182,-0.815,Flat
-0.0687,-0.0444,9.8088,0.1505,-0.4239,2.6403,-0.626,-0.333,89.504,174.965,1,False,0.047,3.414,-0.078,-0.644,Flat
-0.0755,-0.0034,9.8232,-0.4637,0.7364,2.3746,-0.469,-0.277,89.568,175.585,1,False,0.002,3.592,-0.04,-0.31,Flat
-0.0135,-0.0536,9.8457,0.9793,1.1206,2.2817,-0.753,-0.388,89.739,176.125,1,False,0.0,3.72,0.026,0.122,Flat
-0.0622,-0.0212,9.784,0.3789,1.3631,-1.4024,-0.356,-0.547,89.863,176.022,1,False,0.0,1.209,0.107,0.181,Flat
-0.0615,0.0981,10.7585,-0.1194,-0.2628,8.4726,0.012,0.049,90.029,171.766,1,True,17.461,9.103,-0.032,0.122,Raised
-0.1838,0.0212,10.3802,0.0767,-4.2219,4.5767,-0.565,0.132,89.606,173.091,1,False,9.834,9.086,-0.046,-1.753,Raised
0.014,0.0353,10.0443,-0.8064,-2.0097,1.2731,-1.102,0.125,89.321,173.525,1,False,5.225,3.693,-0.178,-1.3,Raised
-0.0671,0.0269,9.9512,-1.1809,-2.1206,0.8775,-1.203,0.267,89.012,173.959,1,False,2.968,3.795,-0.105,-1.775,Raised
0.0101,0.002,9.9698,2.1185,-3.0336,1.3102,-1.057,0.448,88.844,174.222,1,False,1.551,2.219,0.13,-1.481,Raised
0.1798,0.0021,9.8737,-0.9371,0.194,-4.3877,-1.787,0.289,88.866,173.373,1,False,0.701,4.62,0.384,-0.953,Raised
0.0354,-0.045,9.8443,-2.3574,2.4067,5.4667,-2.062,0.003,89.159,174.309,1,False,0.618,6.286,0.007,0.071,Raised
-0.0138,0.1441,9.8385,-0.5019,0.347,0.4467,-1.374,-0.129,89.391,174.391,1,False,0.27,1.917,0.218,-0.068,Raised
-0.0977,-0.0702,9.8027,-0.7943,2.4881,-6.613,-1.19,-0.484,89.549,173.526,1,False,0.0,5.379,0.4,-0.105,Raised
0.0461,0.0578,9.7917,0.5225,1.5302,-6.8503,-0.785,-0.776,89.699,172.327,1,False,0.0,6.805,0.492,0.066,Raised
-0.1046,-0.0129,9.8825,0.4336,-1.1827,-9.8922,-0.874,-0.839,89.64,170.08,0,False,0.014,10.0,0.769,-0.643,Raised
0.0613,0.0591,10.3801,-1.2278,-0.6718,-7.4206,-1.116,-0.549,89.595,169.073,1,True,10.546,5.396,0.573,-0.51,Raised
-0.0252,0.0425,10.0831,-0.0942,-0.843,3.2318,-0.806,-0.375,89.461,169.634,1,False,5.98,3.7,0.298,-0.932,Raised
0.0369,-0.0226,10.0306,0.6793,-2.1348,-0.1339,-0.292,0.035,89.403,169.594,1,False,3.108,0.832,0.472,-0.693,Raised
0.0548,-0.0795,9.8693,-0.453,-0.5292,-1.7195,-0.123,0.191,89.219,169.277,1,False,1.392,2.723,0.495,-1.325,Raised
-0.0088,0.1545,9.6613,1.3953,-0.3991,2.8156,-0.393,0.46,89.093,169.782,1,False,0.6,3.256,0.317,-1.183,Raised
-0.0269,-0.053,9.9154,0.3279,4.585,2.7023,-0.137,0.314,89.3,170.153,1,False,0.421,3.033,0.388,0.039,Raised
0.0042,-0.0059,9.8143,1.7124,0.8576,4.1665,-0.311,0.121,89.331,170.9,1,False,0.253,4.048,0.253,-0.707,Raised
0.0049,-0.0709,9.7914,-1.1627,2.7194,-2.3614,0.02,0.075,89.476,170.531,1,False,0.218,2.678,0.504,-0.088,Raised
0.0119,-0.0305,9.7653,0.2581,-1.39,-2.108,0.137,0.061,89.494,169.833,1,False,0.177,3.769,0.545,-0.545,Raised
0.06,0.0097,9.9019,-0.7592,-0.684,-5.045,0.212,0.158,89.446,168.7,1,False,0.007,5.976,0.666,-0.718,Raised
0.0749,-0.0616,9.8306,-0.0667,0.3326,-11.5214,-0.223,0.063,89.322,166.68,1,False,0.0,10.0,0.908,-1.037,Raised
-0.1276,-0.043,9.7711,-0.4493,-0.4113,-10.2954,-0.06,-0.251,89.176,164.747,1,False,0.064,10.0,0.961,-1.204,Raised
0.0985,0.0287,9.8231,1.0472,0.0941,-6.3633,0.061,-0.16,89.224,163.362,1,False,0.228,7.284,0.968,-0.529,Raised
0.0684,-0.0922,9.8769,-0.3114,-1.4416,-4.3711,-0.089,0.076,89.124,162.324,1,False,0.205,6.012,0.961,-1.225,Raised
0.0219,-0.0674,9.8677,0.2843,-1.0846,-4.9024,-0.584,0.044,88.986,161.106,1,False,0.123,6.901,1.068,-1.381,Raised
-0.0666,-0.1012,9.8408,-0.6131,0.0735,-3.2596,-0.202,-0.158,89.061,160.707,1,False,0.022,2.651,0.965,-0.61,Raised
0.0155,-0.0275,9.6853,0.1178,2.4753,2.5725,0.042,0.203,89.274,161.17,1,False,0.073,3.666,0.835,-0.104,Raised
-0.1011,0.1579,9.9336,0.7289,-0.4999,-1.5534,0.068,0.1,89.226,161.108,1,False,0.0,0.87,0.931,-1.067,Raised
-0.0441,-0.0555,9.9811,1.1578,-2.867,-0.3118,0.246,0.332,89.171,161.066,1,False,0.028,0.648,0.914,-0.97,Raised
-0.0211,0.0215,9.8789,0.9713,-1.3193,1.4883,-0.2,-0.196,89.029,161.444,1,False,0.0,2.878,0.806,-1.383,Raised
0.0569,-0.0361,9.7259,-0.941,1.8144,4.9925,-0.322,-0.565,89.198,162.797,1,False,0.029,7.688,0.615,-0.175,Raised
0.0109,0.169,9.7379,1.5733,6.2711,7.4193,0.559,-0.773,89.817,164.075,1,False,0.003,9.744,0.543,1.666,Raised
0.1309,0.1276,9.7577,-0.0688,6.942,6.9148,0.256,-0.932,90.387,165.399,1,False,0.104,9.78,0.455,1.779,Raised
-0.0869,0.0339,9.9225,0.4758,4.6391,6.7795,0.454,-0.816,90.778,166.943,1,False,0.172,9.737,0.337,1.635,Raised
0.0275,0.0375,9.8337,-1.6274,0.9317,7.2404,0.721,-0.302,90.977,168.297,1,False,0.184,7.951,0.313,1.346,Raised
0.0982,-0.1012,9.789,-0.4938,1.3921,8.9025,0.73,-0.661,91.012,170.055,1,False,0.057,9.038,0.149,0.993,Raised
0.1266,0.0244,9.7215,1.4528,-0.7525,5.8741,0.781,-0.749,91.105,171.15,1,False,0.0,6.04,0.207,1.376,Raised
-0.0629,0.0788,9.8799,0.163,0.1087,0.4427,0.974,-0.684,91.087,171.157,1,False,0.151,0.21,0.387,0.968,Raised
0.1128,-0.0409,9.7695,-1.0108,-0.1685,2.2407,0.67,-0.874,90.99,172.048,1,False,0.153,5.19,0.151,0.696,Raised
-0.0385,-0.0845,9.829,-0.2977,-1.6957,3.6894,0.742,-1.236,90.865,172.754,1,False,0.011,4.482,0.182,0.532,Raised
-0.0603,0.142,9.7864,-0.8777,-2.6155,3.2889,0.455,-0.863,90.644,173.43,1,False,0.005,4.696,-0.16,0.029,Raised
-0.0492,-0.0987,9.7938,-2.1618,-0.7948,3.4998,0.97,-0.861,90.504,174.273,1,False,0.138,5.141,-0.077,0.208,Raised
-0.0823,0.0631,9.8198,-0.232,-1.2916,0.6485,0.726,-0.665,90.481,174.385,1,False,0.0,0.954,-0.196,0.502,Raised
-0.0292,-0.0384,9.7537,0.9456,-0.0343,2.9005,0.524,-0.714,90.436,174.865,1,False,0.0,2.852,-0.084,0.309,Raised
0.1963,-0.1759,9.8805,-0.8824,1.6174,2.6799,0.231,-0.058,90.545,175.369,1,False,0.0,3.259,0.045,0.918,Raised
-0.111,0.0429,9.96,0.1744,-2.0173,-2.8479,0.733,-0.06,90.321,174.779,1,False,0.28,4.403,0.286,-0.46,Raised
0.0511,-0.0926,9.773,0.3721,-5.2977,-9.8892,0.438,0.326,89.846,172.66,0,False,0.022,10.0,0.597,-1.509,Raised
-0.0212,0.0267,10.8972,0.3305,-2.8597,-10.5515,0.207,0.131,89.724,170.423,1,True,20.0,10.0,0.724,-0.348,Raised
0.1098,-0.0374,10.4662,0.8263,-1.1967,-7.5608,-0.377,0.006,89.793,169.084,1,False,10.935,7.193,0.645,0.095,Raised
0.0736,-0.0614,10.5841,0.4062,4.2013,4.5993,0.019,-0.326,90.569,170.813,1,True,13.497,7.333,0.124,2.846,Sloped
-0.013,0.0727,9.9801,1.5253,8.2314,4.0799,0.585,-0.584,91.56,171.797,1,False,7.477,10.0,0.038,4.671,Sloped
0.1808,0.0525,10.0458,1.6035,15.1945,0.3698,1.02,0.158,92.955,172.214,1,False,4.098,9.318,0.076,7.047,Sloped
-0.0029,-0.1053,10.0154,-1.9542,14.4964,-1.1908,0.9,0.242,94.432,172.257,1,False,2.222,7.906,0.069,8.249,Sloped
-0.1901,0.2104,9.8746,-2.5744,14.6724,-1.5354,1.672,0.524,95.833,171.43,1,False,1.131,10.0,-0.245,9.22,Sloped
0.2065,0.1669,9.8031,2.1756,6.6188,-1.5164,1.998,0.557,96.718,170.87,1,False,0.564,7.325,-0.18,8.156,Sloped
0.254,-0.1334,10.0147,0.5701,9.0184,0.0689,1.889,0.673,97.177,170.997,1,False,0.384,3.202,0.058,7.688,Sloped
-0.0734,-0.1107,9.5808,-4.1485,6.8309,0.0816,2.213,0.219,97.447,171.334,1,False,0.203,3.455,-0.045,7.839,Sloped
0.2492,0.1759,9.6496,0.9092,3.3465,-1.0369,3.119,-0.02,97.982,171.577,1,False,0.298,4.295,0.007,9.717,Sloped
0.1077,0.4156,9.7152,-0.3527,4.4163,-3.9709,3.265,-0.315,98.6,170.241,1,False,0.311,10.0,0.406,10.269,Sloped
0.0494,0.1112,9.681,-2.7835,6.7191,-20.6484,4.132,0.186,99.55,166.553,0,False,0.083,10.0,0.93,12.421,Sloped
0.1594,0.0498,9.7258,-0.5201,8.4383,-26.4097,4.093,0.19,100.212,161.428,0,False,0.0,10.0,1.371,11.436,Sloped
0.0078,0.3647,9.8425,-0.5781,6.0937,-22.5593,3.634,0.372,100.655,156.338,0,False,0.027,10.0,1.527,11.433,Sloped
0.0244,0.1622,9.8303,-0.1299,4.6285,-28.433,3.885,-0.49,101.294,150.997,0,False,0.004,10.0,1.823,13.187,Sloped
0.1662,-0.1678,10.9176,0.0368,1.8985,-13.253,4.359,-0.839,101.742,148.133,1,True,20.0,10.0,1.432,12.574,Sloped
0.2867,-0.0263,10.559,0.8188,8.4605,-11.5046,5.077,-1.435,102.398,146.044,1,False,11.017,10.0,1.522,14.353,Sloped
0.1104,-0.1891,10.1101,-0.7347,3.1682,-9.2251,5.374,-1.561,102.708,143.788,1,False,6.174,10.0,1.796,12.962,Sloped
-0.0654,0.1456,9.6954,-1.6246,1.7024,-11.3785,5.679,-0.92,102.881,140.684,0,False,0.038,10.0,2.138,13.111,Sloped
0.2384,-0.1348,10.713,0.732,-1.8675,-12.3666,5.087,-0.585,102.631,138.005,1,True,20.0,10.0,2.18,11.371,Sloped
0.2462,-0.1892,10.3714,0.9705,-1.2512,-6.7637,4.577,-0.531,102.108,136.383,1,False,10.984,10.0,2.103,10.391,Sloped
0.3381,-0.2916,9.9777,4.7639,-0.9916,-3.0434,4.495,-0.634,101.95,136.052,1,False,5.93,2.585,1.866,12.102,Sloped
-0.0862,0.07,10.1471,-2.8188,-0.3536,1.1849,4.393,-0.433,101.741,135.618,1,False,3.063,3.344,2.052,11.143,Sloped
-0.0539,0.1812,9.67,3.5686,-3.9097,-2.0415,4.492,-0.664,101.792,134.833,1,False,1.717,4.651,2.126,12.31,Sloped
0.2618,0.047,9.8498,-0.6423,3.3028,-2.1764,4.1,-1.222,101.982,134.248,1,False,0.799,4.026,2.073,12.665,Sloped
0.3118,0.0359,9.8675,-0.7747,2.9391,-10.3417,4.337,-1.04,102.178,132.863,1,False,0.511,8.181,2.344,12.679,Sloped
0.2302,0.1716,9.6472,2.3468,0.7928,3.3099,4.565,-1.341,102.216,133.064,1,False,0.23,1.54,1.934,12.071,Sloped
0.3038,-0.224,9.6697,-2.3729,0.7588,4.3574,4.887,-1.108,102.277,134.61,1,False,0.05,8.404,1.668,12.467,Sloped
0.1103,-0.0155,9.8761,2.873,2.5256,5.517,4.988,-1.294,102.247,135.329,1,False,0.0,4.205,1.939,12.031,Sloped
0.1275,0.073,9.7435,3.3724,-0.1747,1.4088,5.171,-0.937,102.194,135.732,1,False,0.0,2.567,1.918,12.031,Sloped
0.3644,0.1154,9.9743,-5.123,2.4249,-1.1784,5.112,-0.817,102.325,135.36,1,False,0.0,2.956,2.054,12.925,Sloped
0.1192,0.0717,9.9224,0.0078,3.3172,-8.684,5.187,-0.908,102.627,133.681,1,False,0.118,10.0,2.35,13.64,Sloped
0.332,0.1205,9.8405,1.4993,7.9857,-11.0507,5.975,-0.801,103.12,131.784,1,False,0.009,10.0,2.361,14.637,Sloped
0.0146,-0.174,9.8551,-0.6955,4.5393,-8.0788,6.217,-1.154,103.716,130.361,1,False,0.117,10.0,2.293,15.36,Sloped
-0.0623,0.1917,9.711,3.3563,4.996,-2.4011,6.678,-0.915,104.188,129.476,1,False,0.0,6.883,2.268,15.185,Sloped
0.1164,0.041,9.5975,-0.5136,-2.2683,-0.4452,6.431,-1.016,104.155,129.425,1,False,0.0,0.679,2.192,13.314,Sloped
0.1469,-0.0599,9.8509,1.3226,-1.7385,1.8802,6.665,-0.819,104.113,129.613,1,False,0.157,1.252,2.176,13.996,Sloped
0.3047,-0.0817,9.7323,1.8047,-4.6522,0.3483,6.719,-0.721,103.847,129.397,1,False,0.0,2.496,2.335,12.847,Sloped
0.1011,0.1357,9.7537,-1.0539,-7.7277,1.3097,6.38,-0.598,103.27,129.309,1,False,0.228,3.432,2.328,11.361,Sloped
0.0264,-0.0354,10.0344,-2.3766,-7.1711,-1.3437,6.707,-0.402,102.82,128.943,1,False,0.2,4.472,2.403,11.886,Sloped
0.2085,0.1769,9.6594,1.5643,2.443,2.9473,7.089,-0.328,102.828,129.03,1,False,0.0,0.679,2.219,13.535,Sloped
-0.1488,-0.1039,9.8507,3.4636,-0.6437,-1.139,6.899,0.068,102.902,129.493,1,False,0.0,2.799,2.16,13.184,Sloped
0.0923,-0.0217,9.9074,-1.6755,3.7107,-2.668,6.768,0.262,103.3,129.001,1,False,0.316,4.546,2.377,14.783,Sloped
0.1602,-0.1473,9.8706,1.8531,9.5197,-3.4601,6.154,0.489,104.159,128.205,1,False,0.028,8.627,2.335,16.996,Sloped
0.2084,-0.0009,9.9518,0.2453,3.3294,5.3433,5.495,0.175,104.683,128.884,1,False,0.319,6.125,1.995,15.494,Sloped
0.0199,0.1654,9.9834,1.1036,3.2718,-1.3254,5.426,0.239,104.876,128.634,1,False,0.377,2.639,2.359,14.859,Sloped
0.1695,0.1243,9.6409,0.8466,0.0963,-2.0415,4.963,0.01,104.723,128.211,1,False,0.201,3.083,2.378,13.824,Sloped
0.3073,-0.02,9.8972,-3.0528,-2.824,-0.8986,5.225,-0.122,104.537,127.57,1,False,0.0,4.517,2.442,14.02,Sloped
0.1405,0.1934,9.7967,3.423,-1.3862,-6.6554,4.478,-0.041,104.684,125.497,1,False,0.0,10.0,2.805,15.554,Sloped
0.2205,-0.0032,9.7971,0.4014,-2.5277,-12.893,5.137,0.19,104.881,122.476,0,False,0.051,10.0,3.068,15.446,Sloped
0.0738,0.0589,10.795,-1.6424,-2.2965,-9.4422,4.781,0.609,105.035,120.243,1,True,20.0,10.0,2.941,15.359,Sloped
-0.1743,0.0844,10.5115,-1.785,-4.2307,4.4776,0.29,0.386,89.78,171.032,1,True,14.093,6.944,0.04,-1.374,Uneven
-0.3162,-0.1476,10.0716,-0.6957,-12.9434,5.8138,-0.287,-0.21,89.031,172.195,0,False,0.0,9.789,0.022,-4.217,Uneven
0.088,0.0823,10.8383,3.6099,-15.7085,2.6455,-1.343,-0.373,88.018,172.409,1,True,13.898,6.942,-0.285,-4.956,Uneven
-0.1071,0.1782,9.7557,0.5854,-19.4352,-11.0737,-2.517,0.106,86.096,170.335,0,False,0.058,10.0,-0.707,-10.829,Uneven
0.09,-0.2097,9.5831,2.9508,-13.7628,-8.8441,-2.067,-0.882,84.917,168.397,0,False,0.0,10.0,-0.563,-5.267,Uneven
0.0574,0.158,10.7608,-1.2055,-5.7074,-14.9915,-1.701,-0.221,84.832,165.841,1,True,20.0,10.0,-1.02,-1.93,Uneven
0.1053,-0.1985,10.2348,-2.9288,-4.5978,1.0173,-2.255,-0.273,84.49,164.494,1,False,11.0,8.863,-0.465,-7.041,Uneven
0.1949,-0.0252,10.0454,8.4753,6.3484,-10.4405,-1.762,-1.035,85.073,163.059,1,False,6.188,10.0,-0.988,-0.794,Uneven
0.1602,0.063,9.7363,-2.397,4.0436,-17.4437,-2.61,-0.403,85.585,160.447,0,False,0.0,10.0,-1.37,-3.551,Uneven
0.0071,0.0539,9.8302,4.129,4.7242,-26.2903,-2.642,0.181,85.572,156.669,0,False,0.064,10.0,-1.63,-6.097,Uneven
-0.4326,0.0143,10.762,4.3143,10.0204,-10.9992,-1.426,-0.037,86.304,153.27,1,True,20.0,10.0,-1.703,0.187,Uneven
-0.0065,0.1544,10.2185,4.3827,10.1148,-8.9792,-1.556,0.31,87.336,151.603,1,False,11.05,10.0,-1.347,0.469,Uneven
0.2215,0.267,10.1482,-1.5955,7.863,-0.3858,-1.829,0.201,88.11,151.03,1,False,5.944,7.122,-1.341,-1.053,Uneven
-0.1516,-0.0699,9.7475,5.6791,2.7423,8.1143,-1.954,0.477,88.723,152.733,0,False,0.004,10.0,-0.792,-0.476,Uneven
-0.0786,-0.1962,10.8171,-2.2363,6.1793,5.7198,-0.951,0.774,89.652,153.823,1,True,19.911,10.0,-1.234,2.61,Uneven
0.0823,0.2014,10.4179,-2.2563,17.5317,-6.1722,-1.238,1.043,91.049,153.402,1,False,11.135,9.916,-1.496,5.484,Uneven
-0.0141,-0.044,10.0714,-0.1254,23.1158,2.3523,-0.52,1.2,92.646,153.883,0,False,0.02,10.0,-0.904,6.664,Uneven
0.145,-0.0083,9.868,0.3212,3.6221,12.3071,-0.537,0.796,93.25,156.989,0,False,0.0,10.0,-0.297,1.43,Uneven
0.1151,0.3153,10.4236,-2.3066,4.1386,10.6807,-0.362,1.389,93.616,159.973,1,True,20.0,10.0,-0.548,3.653,Uneven
-0.1615,-0.1321,9.7233,2.1282,2.171,18.6374,-0.295,1.322,93.734,163.153,0,False,0.0,10.0,-0.309,3.206,Uneven
0.0887,0.23,9.718,-0.9767,-7.8891,13.3839,1.7,1.341,93.809,165.634,0,False,0.005,10.0,-0.388,3.832,Uneven
0.0451,0.0186,10.7856,1.228,-3.576,10.5568,1.347,1.117,93.459,167.673,1,True,20.0,10.0,-0.363,1.392,Uneven
0.1182,-0.0429,10.4353,-1.7011,-4.8426,4.0508,1.484,0.211,92.937,168.327,1,False,10.917,6.179,-0.658,1.288,Uneven
0.1206,-0.1238,10.1133,4.6899,-12.9251,-5.5984,-0.007,1.099,91.79,167.345,1,False,5.961,10.0,-0.905,-2.603,Uneven
0.3924,-0.0799,9.6284,0.1147,-10.4914,-16.3094,0.685,0.52,91.268,164.644,0,False,0.044,10.0,-1.289,2.116,Uneven
0.416,0.2325,10.7116,-0.1749,-13.6836,-2.4587,0.883,0.388,90.495,163.585,1,True,20.0,9.736,-0.576,-1.935,Uneven
-0.0246,-0.1297,10.4926,-7.3659,7.7177,10.8796,1.623,-0.228,90.674,164.456,1,False,11.089,5.738,-0.18,4.035,Uneven
0.0202,0.0171,10.2018,0.9773,0.6304,2.7534,1.498,0.604,91.06,164.835,1,False,6.058,4.068,0.688,2.525,Uneven
-0.0335,0.0712,10.0912,4.0453,-0.3446,6.9238,0.496,0.291,90.865,165.986,1,False,3.397,7.472,0.352,-1.366,Uneven
0.0657,0.4943,9.6927,-0.6144,-5.0168,4.257,-1.04,0.099,90.134,166.201,1,False,2.0,4.955,0.689,-3.094,Uneven
-0.0937,0.1681,9.6803,1.3668,-7.5014,-3.7554,-1.309,0.484,88.389,165.664,0,False,0.0,10.0,0.596,-8.485,Uneven
0.2325,0.0364,9.6272,-6.1156,-5.6136,-17.022,-0.795,0.505,87.476,163.234,0,False,0.0,10.0,1.374,-1.869,Uneven
0.1152,-0.0588,10.8207,-1.2621,-12.6417,-13.7458,-0.015,0.615,86.659,161.236,1,True,20.0,10.0,0.933,-4.776,Uneven
0.1299,0.0605,9.7068,-0.2787,-3.3068,-11.3095,-1.081,0.723,85.698,159.834,0,False,0.042,10.0,0.845,-6.789,Uneven
-0.0624,0.184,10.3647,-3.4964,-12.0861,-2.6338,-0.751,-0.619,85.035,160.186,1,True,11.998,5.746,0.462,-5.445,Uneven
-0.3952,-0.0755,9.8908,-5.7811,-3.6604,10.9804,-0.72,-0.761,84.745,162.497,0,False,0.0,10.0,0.091,-4.709,Uneven
